team,season,goals,goals_conceded,Goal_Difference
Chelsea,2017-2018,62,38,24
Arsenal,2017-2018,74,51,23
Burnley,2017-2018,36,39,-3
Leicester City,2017-2018,56,60,-4
Newcastle United,2017-2018,39,47,-8
Crystal Palace,2017-2018,45,55,-10
Everton,2017-2018,44,58,-14
AFC Bournemouth,2017-2018,45,61,-16
Southampton,2017-2018,37,56,-19
Watford,2017-2018,44,64,-20
West Ham United,2017-2018,48,68,-20
Brighton and Hove Albion,2017-2018,34,54,-20
West Bromwich Albion,2017-2018,31,56,-25
Swansea City,2017-2018,28,56,-28
Huddersfield Town,2017-2018,28,58,-30
Stoke City,2017-2018,35,68,-33
