team,season,total_scoring_attempt
Swansea City,2016-2017,405
West Bromwich Albion,2016-2017,399
Hull City,2016-2017,397
Burnley,2016-2017,391
Sunderland,2016-2017,387
Middlesbrough,2016-2017,351
Manchester City,2017-2018,665
Liverpool,2017-2018,638
Tottenham Hotspur,2017-2018,623
Chelsea,2017-2018,606
Arsenal,2017-2018,594
Manchester United,2017-2018,512
Crystal Palace,2017-2018,476
AFC Bournemouth,2017-2018,465
Newcastle United,2017-2018,451
Southampton,2017-2018,450
Watford,2017-2018,440
Leicester City,2017-2018,423
Stoke City,2017-2018,384
Brighton and Hove Albion,2017-2018,384
West Bromwich Albion,2017-2018,378
Burnley,2017-2018,378
West Ham United,2017-2018,372
Huddersfield Town,2017-2018,362
Everton,2017-2018,359
Swansea City,2017-2018,338
